2017-11-19 10:38:59.184 INFO  DefaultFactory Logging to 'D:\temp-work\eKart\eKart.Orders\bin\Debug\' with level Info
2017-11-19 10:38:59.309 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 31 January 2018

2017-11-19 10:39:01.412 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'SAPIENT\snaya3' to group 'Performance Monitor Users' because the user is already in group.
2017-11-19 10:39:01.449 WARN  NServiceBus.StartableEndpoint All queues owned by the 'eKart.Order' endpoint will be purged on startup.
2017-11-19 10:39:01.528 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:39:01.538 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:39:01.546 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:39:01.553 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:39:01.560 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:39:01.567 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:39:01.570 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:39:01.572 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:41:39.083 INFO  DefaultFactory Logging to 'D:\temp-work\eKart\eKart.Orders\bin\Debug\' with level Info
2017-11-19 10:41:39.278 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 31 January 2018

2017-11-19 10:41:39.534 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'SAPIENT\snaya3' to group 'Performance Monitor Users' because the user is already in group.
2017-11-19 10:41:39.570 WARN  NServiceBus.StartableEndpoint All queues owned by the 'eKart.Order' endpoint will be purged on startup.
2017-11-19 10:41:39.609 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:41:39.620 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:41:39.630 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:41:39.659 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:41:39.668 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:41:39.677 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:41:39.680 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:41:39.685 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:52:09.103 INFO  DefaultFactory Logging to 'D:\temp-work\eKart\eKart.Orders\bin\Debug\' with level Info
2017-11-19 10:52:09.235 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 31 January 2018

2017-11-19 10:52:09.413 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'SAPIENT\snaya3' to group 'Performance Monitor Users' because the user is already in group.
2017-11-19 10:52:09.439 WARN  NServiceBus.StartableEndpoint All queues owned by the 'eKart.Order' endpoint will be purged on startup.
2017-11-19 10:52:09.483 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:52:09.495 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:52:09.504 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:52:09.513 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:52:09.523 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 10:52:09.535 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:52:09.539 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 10:52:09.543 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 11:14:16.270 INFO  DefaultFactory Logging to 'D:\temp-work\eKart\eKart.Orders\bin\Debug\' with level Info
2017-11-19 11:14:16.446 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 31 January 2018

2017-11-19 11:14:16.645 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'SAPIENT\snaya3' to group 'Performance Monitor Users' because the user is already in group.
2017-11-19 11:14:16.678 WARN  NServiceBus.StartableEndpoint All queues owned by the 'eKart.Order' endpoint will be purged on startup.
2017-11-19 11:14:16.746 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 11:14:16.769 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 11:14:16.783 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 11:14:16.802 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 11:14:16.816 WARN  NServiceBus.QueuePermissions Queue [private$\eKart.Order] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-19 11:14:16.830 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 11:14:16.835 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 11:14:16.839 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 11:39:33.670 INFO  DefaultFactory Logging to 'D:\temp-work\eKart\eKart.Orders\bin\Debug\' with level Info
2017-11-19 11:39:33.888 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 31 January 2018

2017-11-19 11:39:40.947 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'SAPIENT\snaya3' to group 'Performance Monitor Users' because the user is already in group.
2017-11-19 11:39:40.968 WARN  NServiceBus.StartableEndpoint All queues owned by the 'eKart.Order' endpoint will be purged on startup.
2017-11-19 11:39:41.015 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 11:39:41.018 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 11:39:41.021 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 12:47:03.526 INFO  DefaultFactory Logging to 'D:\temp-work\eKart\eKart.Orders\bin\Debug\' with level Info
2017-11-19 12:47:03.751 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 31 January 2018

2017-11-19 12:47:04.163 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'SAPIENT\snaya3' to group 'Performance Monitor Users' because the user is already in group.
2017-11-19 12:47:04.197 WARN  NServiceBus.StartableEndpoint All queues owned by the 'eKart.Order' endpoint will be purged on startup.
2017-11-19 12:47:04.287 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 12:47:04.291 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 12:47:04.296 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-19 12:48:12.763 INFO  DefaultFactory Logging to 'D:\temp-work\eKart\eKart.Orders\bin\Debug\' with level Info
2017-11-19 12:48:12.929 INFO  NServiceBus.LicenseManager Selected active license from HKEY_LOCAL_MACHINE\SOFTWARE\ParticularSoftware
License Expiration: 31 January 2018

2017-11-19 12:48:13.171 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'SAPIENT\snaya3' to group 'Performance Monitor Users' because the user is already in group.
